iter	Passed	Remaining
0	0	206
1	1	186
2	1	181
3	2	183
4	3	178
5	3	175
6	4	174
7	4	172
8	5	171
9	5	171
10	6	172
11	7	171
12	7	169
13	8	168
14	8	167
15	9	166
16	9	166
17	10	165
18	11	164
19	11	164
20	12	164
21	13	165
22	13	166
23	14	165
24	14	164
25	15	163
26	16	162
27	16	161
28	17	160
29	17	159
30	18	158
31	19	160
32	19	159
33	20	159
34	20	158
35	21	157
36	22	156
37	22	156
38	23	155
39	23	154
40	24	154
41	24	153
42	25	153
43	26	153
44	27	153
45	27	153
46	28	153
47	29	153
48	29	152
49	30	152
50	31	152
51	31	152
52	32	152
53	33	152
54	34	152
55	34	152
56	35	151
57	36	151
58	36	150
59	37	150
60	38	149
61	38	149
62	39	149
63	40	149
64	41	149
65	41	148
66	42	148
67	43	147
68	43	146
69	44	146
70	45	146
71	45	145
72	46	145
73	47	144
74	47	143
75	48	143
76	49	142
77	49	141
78	50	140
79	51	140
80	51	139
81	52	139
82	53	138
83	53	137
84	54	137
85	54	136
86	55	135
87	56	135
88	56	134
89	57	133
90	58	133
91	58	132
92	59	131
93	59	131
94	60	130
95	61	129
96	61	128
97	62	128
98	62	127
99	63	126
100	64	126
101	64	125
102	65	125
103	65	124
104	66	123
105	67	122
106	67	122
107	68	121
108	68	120
109	69	120
110	70	119
111	70	118
112	71	118
113	72	117
114	72	116
115	73	116
116	73	115
117	74	114
118	75	114
119	75	113
120	76	112
121	76	112
122	77	111
123	78	111
124	78	110
125	79	109
126	79	108
127	80	108
128	81	107
129	81	106
130	82	106
131	82	105
132	83	105
133	84	104
134	85	104
135	86	103
136	86	103
137	87	102
138	87	101
139	88	101
140	89	100
141	89	99
142	90	99
143	91	98
144	91	98
145	92	97
146	93	96
147	93	96
148	94	95
149	94	94
150	95	94
151	96	93
152	96	92
153	97	92
154	97	91
155	98	90
156	99	90
157	99	89
158	100	88
159	100	88
160	101	87
161	102	87
162	102	86
163	103	85
164	104	85
165	104	84
166	105	83
167	106	83
168	106	82
169	107	81
170	107	81
171	108	80
172	109	80
173	109	79
174	110	78
175	110	78
176	111	77
177	112	76
178	112	76
179	113	75
180	114	75
181	114	74
182	115	73
183	116	73
184	116	72
185	117	71
186	117	71
187	118	70
188	119	69
189	119	69
190	120	68
191	120	68
192	121	67
193	122	66
194	122	66
195	123	65
196	124	64
197	124	64
198	125	63
199	125	62
200	126	62
201	127	61
202	127	61
203	128	60
204	129	60
205	130	59
206	131	58
207	131	58
208	132	57
209	132	56
210	133	56
211	134	55
212	134	55
213	135	54
214	136	53
215	136	53
216	137	52
217	137	51
218	138	51
219	139	50
220	139	49
221	140	49
222	140	48
223	141	48
224	142	47
225	143	46
226	143	46
227	144	45
228	145	44
229	145	44
230	146	43
231	147	43
232	147	42
233	148	41
234	149	41
235	149	40
236	150	39
237	150	39
238	151	38
239	152	38
240	152	37
241	153	36
242	153	36
243	154	35
244	155	34
245	155	34
246	156	33
247	157	32
248	157	32
249	158	31
250	159	31
251	159	30
252	160	29
253	160	29
254	161	28
255	162	27
256	162	27
257	163	26
258	163	25
259	164	25
260	164	24
261	165	24
262	166	23
263	166	22
264	167	22
265	168	21
266	168	20
267	169	20
268	170	19
269	170	18
270	171	18
271	172	17
272	172	17
273	173	16
274	174	15
275	175	15
276	184	15
277	184	14
278	185	13
279	185	13
280	186	12
281	187	11
282	187	11
283	188	10
284	188	9
285	189	9
286	190	8
287	190	7
288	191	7
289	191	6
290	192	5
291	192	5
292	193	4
293	193	3
294	194	3
295	195	2
296	195	1
297	196	1
298	196	0
299	197	0
